;raw;standar
1;;
2;AGROFARMA;AGROPHARMA
3;AGROFPHARMA;AGROPHARMA
4;AGROINSUMOS;AGROINSUMOS
5;AGROPHARMA;AGROPHARMA
6;ALIMASC;ALIMASC
7;atanor;ATANOR
8;ATANOR;ATANOR
9;aviar;AVIAR
10;BABS;BASF
11;BASF;BASF
12;bayer;BAYER
13;BAYER;BAYER
14;BIO 98;BIO 98
15;BIOGENESIS;BIOGENESIS BAGO
16;BIOGENESIS BAGO;BIOGENESIS BAGO
17;BIOGENESIS - BAGO;BIOGENESIS BAGO
18;BIOGENESIS-BAGO;BIOGENESIS BAGO
19;biotay;BIOTAY
20;BIOTAY;BIOTAY
21;BOEHERINGER;BOEHRINGER
22;BOEHRINGER;BOEHRINGER
23;BROUWE;BROUWER
24;brouwer;BROUWER
25;BROUWER;BROUWER
26;BURNET;BURNET
27;CALA;CALA
28;CALASTEME;CALASTREME
29;CALASTREME;CALASTREME
30;CALFOR;CALFOR
31;calier;CALIER
32;CALIER;CALIER
33;CAMABE;CAMABE
34;C D V;C D V
35;CHEMICAL WORLD;CHEMICAL WORLD
36;CHIFIELD;CHINFIELD
37;CHINFIELD;CHINFIELD
38;CHINFIELD S. A;CHINFIELD
39;CIMOL;CIMOL
40;CLINICA EQUINA;CLINICA EQUINA
41;cutralco;CUTRALCO
42;CUTRALCO;CUTRALCO
43;DAIRFAMA;DAIRYFARMA
44;DAIRYFARMA;DAIRYFARMA
45;DERBY;DERBY
46;DOCTOR;DOCTOR
47;DOGUI;DOGUI
48;DOW AGROSCIENCES;DOW AGROSCIENCES
49;ECON;ECON
50;ECONOMICAS;ECONOMICAS
51;ELANCO;ELANCO
52;ENRICH;ENRICH
53;EQUI-SISTEMS;EQUI SYSTEMS
54;EQUISYSTEM;EQUI SYSTEMS
55;EQUI SYSTEMS;EQUI SYSTEMS
56;EQUI-SYSTEMS;EQUI SYSTEMS
57;FAEVE;FAEVE
58;FARVIG;FARVIG
59;FATRO;VON FRANKEN FATRO
60;FAV;FAV
61;FEIT Y OLIVARI;FEIT Y OLIVARI
62;fort dodge;FORT DODGE
63;FORT DODGE SANIDAD A;FORT DODGE
64;FORTI;FORTI
65;FUNDACION;FUNDACION
66;GEOTECNOLOGIA;GEOTECNOLOGIA
67;GLEBA;GLEBA
68;GRHESA;GRHESA
69;HOLLIDAY;HOLLIDAY
70;IBSA;IBSA
71;IMPORTADO;IMPORTADO
72;IMVI;IMVI
73;induvet;INDUVET
74;INDUVET;INDUVET
75;INMUNOVET / RIO;INMUNOVET RIO
76;intervet;INTERVET
77;INTERVET;INTERVET
78;INTERVET ARGENTINA S;INTERVET
79;JOHN MARTIN;JOHN MARTIN
80;KEMKO;KEMKO
81;konig;KONIG
82;KONIG;KONIG
83;KONING;KONIG
84;laboratori;LABORATORI
85;LABYES;LABYES
86;LAMAR;LAMAR
87;LIDER;LIDER
88;LTF;L.T. FRANCES
89;L.T.FRANCES;L.T. FRANCES
90;MAGNUS LAB;MAGNUS LAB
91;MAGNUS LAB SRL;MAGNUS LAB
92;MEDIZABA FERRARO LAR;MEDIZABA FERRARO LAR
93;MERIAL;MERIAL
94;MFL;MFL
95;montkemt;MONTKEMT
96;MSD;MSD
97;MUSTAD;MUSTAD
98;MUSTUD;MUSTAD
99;NEOGEN VET;NEOGEN VET
100;NEOMED;NEOMED
101;NIESER;NIESER
102;nort;NORT
103;NORT;NORT
104;norvatis;NOVARTIS
105;NORVATIS;NOVARTIS
106;NOVARTIS;NOVARTIS
107;NUFARM;NUFARM
108;OSSPRET;OSSPRET
109;OTROS;
110;over;OVER
111;OVER;OVER
112;pfiszer;PFIZER
113;PFIZER;PFIZER
114;proagro;PROAGRO
115;PROAGRO;PROAGRO
116;PRODUVET;PRODUVET
117;PRO REX;PRO REX
118;PRO SER;PRO SER
119;PUEBLA;PUEBLA
120;QUIMAGRO;QUIMAGRO
121;RACING PLATE;RACING PLATE
122;R D F;R D F
123;richmond;RICHMOND
124;RICHMOND;RICHMOND
125;RIO DE JANEIRO;RIO DE JANEIRO
126;RIPOLL;RIPOLL
127;ROSEMBUCH;ROSENBUSCH
128;ROSEMBUSCH;ROSENBUSCH
129;rosenbusch;ROSENBUSCH
130;ROSENBUSCH;ROSENBUSCH
131;san miguel;SAN MIGUEL
132;SCHERING PLOUGH;SCHERING PLOUGH
133;SCHERING-PLOUGH;SCHERING PLOUGH
134;S HORSE;SPORT HORSE
135;SORT HORSE;SPORT HORSE
136;sport horse;SPORT HORSE
137;SPORT HORSE;SPORT HORSE
138;SPORT-HORSE S.H;SPORT HORSE
139;SWAN MORTON;SWAN MORTON
140;SYNTEK;SYNTEX
141;SYNTEX;SYNTEX
142;TECNOLOGICO FRANCES;TECNOLOGICO FRANCES
143;TECNOVAC;TECNOVAX
144;tecnoval;TECNOVAX
145;tecnovax;TECNOVAX
146;TERNELAC;TERNELAC
147;TRAINING;TRAINING
148;VET;VET
149;VETANCO;VETANCO
150;vetec;VETEC
151;VETOQUINOL;VETOQUINOL
152;vetue;VETUE
153;VETUE;VETUE
154;VE-TUE;VETUE
155;VIT;VIT
156;VITERRA;VITERRA
157;von franken;VON FRANKEN FATRO
158;VON FRANKEN;VON FRANKEN FATRO
159;VON FRANKEN FATRO;VON FRANKEN FATRO
160;VON FRANKEN - FATRO;VON FRANKEN FATRO
161;VON FRANKEN-FATRO;VON FRANKEN FATRO
162;WALMUR;WALMUR
163;WINDHOEK;WINDHOEK
164;zoetis;ZOETIS
165;ZOOVET;ZOOVET
